격분한,"['anger', '0.964']" 
의견이 맞지 않는,"['sadness', '0.333']"
단절,"['sadness', '0.333']"
박테리아,"['sadness', '0.328']"
떠돌아,"['sadness', '0.328']"
돌풍,"['sadness', '0.328']"
지하실,"['sadness', '0.328']"
휴가,"['sadness', '0.328']"
끝이없는,"['sadness', '0.328']"
용납 될 수없는,"['sadness', '0.328']"
속박,"['sadness', '0.328']"
의존,"['sadness', '0.328']"
멸균 된,"['sadness', '0.328']"
미확인의,"['sadness', '0.328']"
허용되지 않는,"['sadness', '0.328']"
친척 편중,"['sadness', '0.328']"
쓰림,"['sadness', '0.328']"
꾸짖다,"['sadness', '0.327']"
이가 미끄러운,"['sadness', '0.324']"
뜨내기 노동자,"['sadness', '0.323']"
깨지기 쉬운,"['sadness', '0.319']"
적은,"['sadness', '0.319']"
고소하다,"['sadness', '0.318']"
거의,"['sadness', '0.318']"
인도,"['sadness', '0.312']"
지방이 많은,"['sadness', '0.312']"
활재,"['sadness', '0.312']"
햄스트링,"['sadness', '0.312']"
궤양,"['sadness', '0.312']"
무시하다,"['sadness', '0.312']"
노스탤지어,"['sadness', '0.312']"
억제하다,"['sadness', '0.312']"
흐리게,"['sadness', '0.312']"
소실,"['sadness', '0.312']"
숨기다,"['sadness', '0.311']"
흠,"['sadness', '0.310']"
저항하는,"['sadness', '0.309']"
교감 신경,"['sadness', '0.307']"
도깨비,"['sadness', '0.304']"
불다,"['sadness', '0.303']"
아편,"['sadness', '0.303']"
아아,"['sadness', '0.302']"
정지,"['sadness', '0.297']"
...을 넣다,"['sadness', '0.297']"
편두통,"['sadness', '0.297']"
양립 할 수없는,"['sadness', '0.297']"
둔한,"['sadness', '0.297']"
불연속,"['sadness', '0.297']"
주름진,"['sadness', '0.297']"
막다,"['sadness', '0.297']"
약한,"['sadness', '0.297']"
오도 ​​된,"['sadness', '0.297']"
침하,"['sadness', '0.297']"
은자,"['sadness', '0.296']"
움직이는,"['sadness', '0.295']"
수축,"['sadness', '0.295']"
떨다,"['sadness', '0.291']"
도보 여행가,"['sadness', '0.288']"
중요하지 않은,"['sadness', '0.288']"
...을 제외한,"['sadness', '0.281']"
취소,"['sadness', '0.234']"
흑인,"['sadness', '0.281']"
회색,"['sadness', '0.269']"
연체 된,"['sadness', '0.281']"
꽁무니 빼다,"['sadness', '0.281']"
풀다,"['sadness', '0.281']"
심술 궂은,"['sadness', '0.281']"
스크래피,"['sadness', '0.281']"
고백,"['sadness', '0.281']"
소심한,"['sadness', '0.281']"
하위,"['sadness', '0.281']"
앉히다,"['sadness', '0.281']"
냉담,"['sadness', '0.281']"
더러움,"['sadness', '0.281']"
검은,"['sadness', '0.281']"
종소리,"['sadness', '0.275']"
법률학,"['sadness', '0.273']"
혼동,"['sadness', '0.273']"
병사,"['sadness', '0.273']"
장애물,"['sadness', '0.266']"
느슨한,"['sadness', '0.266']"
영원,"['sadness', '0.266']"
퇴거,"['sadness', '0.266']"
비현실적인,"['sadness', '0.266']"
복잡한 감정,"['sadness', '0.266']"
중상,"['sadness', '0.266']"
표류 한,"['sadness', '0.266']"
절름발이,"['sadness', '0.266']"
오두막집,"['sadness', '0.266']"
불편한,"['sadness', '0.263']"
얽매다,"['sadness', '0.259']"
와전,"['sadness', '0.259']"
흐르지 않는,"['sadness', '0.259']"
지적 부진,"['sadness', '0.255']"
황야,"['sadness', '0.255']"
낭비적인,"['sadness', '0.250']"
곤란한,"['sadness', '0.250']"
교육을받지 않은,"['sadness', '0.250']"
더 오래된,"['sadness', '0.250']"
추측,"['sadness', '0.250']"
죽지 않는,"['sadness', '0.250']"
소나무,"['sadness', '0.250']"
대소동,"['sadness', '0.250']"
협잡,"['sadness', '0.250']"
쾅,"['sadness', '0.250']"
속기 쉬운,"['sadness', '0.250']"
공산주의,"['sadness', '0.250']"
오류,"['sadness', '0.250']"
앵커리지,"['sadness', '0.250']"
비오는 날,"['sadness', '0.242']"
분명히 나타내는,"['sadness', '0.242']"
멜로 드라마,"['sadness', '0.242']"
필요성,"['sadness', '0.236']"
지루함,"['sadness', '0.235']"
안개가 낀,"['sadness', '0.234']"
경사,"['sadness', '0.234']"
폐물,"['sadness', '0.234']"
버크,"['sadness', '0.234']"
구멍,"['sadness', '0.234']"
치료,"['sadness', '0.234']"
봉쇄,"['sadness', '0.234']"
출발하다,"['sadness', '0.234']"
시시한,"['sadness', '0.234']"
문장,"['sadness', '0.234']"
창백한,"['sadness', '0.234']"
케이스,"['sadness', '0.228']"
비오는,"['sadness', '0.227']"
번거로운,"['sadness', '0.223']"
바닥,"['sadness', '0.223']"
무관심한,"['sadness', '0.223']"
금식,"['sadness', '0.220']"
무관심,"['sadness', '0.219']"
갓돌,"['sadness', '0.219']"
변색 된,"['sadness', '0.219']"
큰 실수,"['sadness', '0.219']"
갈증,"['sadness', '0.219']"
시주,"['sadness', '0.219']"
경건한,"['sadness', '0.219']"
코카인,"['sadness', '0.218']"
강인한,"['sadness', '0.212']"
보다 낮은,"['sadness', '0.203']"
삠,"['sadness', '0.203']"
건조한,"['sadness', '0.203']"
지방,"['sadness', '0.203']"
혁명,"['sadness', '0.203']"
청구 할 수있는,"['sadness', '0.203']"
부진한,"['sadness', '0.203']"
하얗게 된,"['sadness', '0.203']"
이 없이,"['sadness', '0.202']"
진행,"['sadness', '0.201']"
폐쇄,"['sadness', '0.195']"
매 맞지 않은,"['sadness', '0.193']"
송아지 고기,"['sadness', '0.188']"
퇴직,"['sadness', '0.188']"
괴벽,"['sadness', '0.188']"
진심 어린,"['sadness', '0.188']"
메,"['sadness', '0.188']"
무효의,"['sadness', '0.188']"
볶다,"['sadness', '0.188']"
중단 된,"['sadness', '0.188']"
소문,"['sadness', '0.188']"
백내장,"['sadness', '0.188']"
고삐,"['sadness', '0.188']"
감기,"['sadness', '0.188']"
우려하는,"['sadness', '0.184']"
풍자,"['sadness', '0.181']"
조각,"['sadness', '0.179']"
존중,"['sadness', '0.172']"
감각,"['sadness', '0.172']"
초과 적재,"['sadness', '0.172']"
각기 다른,"['sadness', '0.172']"
기억,"['sadness', '0.172']"
수액,"['sadness', '0.172']"
컵,"['sadness', '0.172']"
목적지,"['sadness', '0.170']"
안돼,"['sadness', '0.169']"
제한된,"['sadness', '0.167']"
비,"['sadness', '0.163']"
고집 센,"['sadness', '0.160']"
제목없는,"['sadness', '0.157']"
잡초,"['sadness', '0.156']"
정량,"['sadness', '0.156']"
십자가,"['sadness', '0.156']"
흡입,"['sadness', '0.154']"
대수롭지 않은,"['sadness', '0.152']"
행렬,"['sadness', '0.152']"
세,"['sadness', '0.142']"
레즈비언,"['sadness', '0.141']"
이모,"['sadness', '0.141']"
고가의,"['sadness', '0.141']"
참다,"['sadness', '0.141']"
얼굴,"['sadness', '0.141']"
무게,"['sadness', '0.141']"
다루기 어려운,"['sadness', '0.140']"
개집,"['sadness', '0.130']"
접지 된,"['sadness', '0.130']"
늦은,"['sadness', '0.125']"
신탁의,"['sadness', '0.125']"
구름,"['sadness', '0.125']"
훌륭한,"['sadness', '0.125']"
기념하다,"['sadness', '0.125']"
순한,"['sadness', '0.125']"
고요함,"['sadness', '0.125']"
여성 단체,"['sadness', '0.125']"
사회 주의자,"['sadness', '0.125']"
미납 된,"['sadness', '0.125']"
여유,"['sadness', '0.125']"
태만,"['sadness', '0.121']"
레이스,"['sadness', '0.118']"
널리 알려지지 않은,"['sadness', '0.116']"
관심있는,"['sadness', '0.114']"
요새,"['sadness', '0.110']"
양털,"['sadness', '0.109']"
평가,"['sadness', '0.109']"
풍부한,"['sadness', '0.109']"
사제직,"['sadness', '0.109']"
오케스트라,"['sadness', '0.109']"
최고의,"['sadness', '0.109']"
거룩하게하다,"['sadness', '0.108']"
수입,"['sadness', '0.100']"
소네트,"['sadness', '0.094']"
승리,"['sadness', '0.094']"
조용한,"['sadness', '0.094']"
우우,"['sadness', '0.094']"
공연히,"['sadness', '0.091']"
젖은,"['sadness', '0.078']"
포옹,"['sadness', '0.078']"
오두막,"['sadness', '0.078']"
대인기,"['sadness', '0.078']"
동기 부여,"['sadness', '0.078']"
오페라,"['sadness', '0.078']"
턱,"['sadness', '0.076']"
찬송가,"['sadness', '0.064']"
정직한,"['sadness', '0.062']"
유물,"['sadness', '0.061']"
침상,"['sadness', '0.060']"
와플,"['sadness', '0.047']"
껍질,"['sadness', '0.045']"
뮤지컬,"['sadness', '0.045']"
맛,"['sadness', '0.034']"
투표,"['sadness', '0.031']"
냅킨,"['sadness', '0.031']"
노래,"['sadness', '0.017']"
음악,"['sadness', '0.016']"
어머니,"['sadness', '0.016']"
영양가있는,"['sadness', '0.015']"
아름다운,"['sadness', '0.009']"
미술,"['sadness', '0.000']"
로맨스,"['sadness', '0.000']"
분비액,"['sadness', '0.000']"
연인,"['sadness', '0.000']"
놀람,"['surprise', '0.781']"
깜짝 놀라게 하다,"['surprise', '0.711']"
터지다,"['surprise', '0.906']"
폭발,"['surprise', '0.859']"
폭발물,"['surprise', '0.883']"
매복,"['surprise', '0.883']"
분화,"['surprise', '0.883']"
놀라다,"['surprise', '0.445']"
펄쩍 뛸 만한 놀람,"['surprise', '0.875']"
놀랍게도,"['surprise', '0.648']"
놀라운,"['surprise', '0.773']"
깜짝 놀란,"['surprise', '0.867']"
놀란,"['surprise', '0.797']"
떨리는,"['surprise', '0.859']"
기적,"['surprise', '0.859']"
쏘다,"['surprise', '0.852']"
경보,"['surprise', '0.500']"
NO TRANSLATION,"['surprise', '0.312']"
심한 상하의 움직임,"['surprise', '0.844']"
뇌우,"['surprise', '0.844']"
충격,"['surprise', '0.711']"
공포,"['surprise', '0.742']"
쾅,"['surprise', '0.703']"
뜻밖에,"['surprise', '0.836']"
대단원,"['surprise', '0.836']"
부시다,"['surprise', '0.836']"
비상 사태,"['surprise', '0.828']"
당황,"['surprise', '0.500']"
갑자기,"['surprise', '0.727']"
깜짝 놀라게하는,"['surprise', '0.828']"
놀라게 하다,"['surprise', '0.805']"
기절 한,"['surprise', '0.820']"
공동 자금,"['surprise', '0.812']"
지진,"['surprise', '0.812']"
재앙,"['surprise', '0.812']"
클라이맥스,"['surprise', '0.805']"
깜짝 놀라,"['surprise', '0.805']"
공황,"['surprise', '0.797']"
폭탄,"['surprise', '0.789']"
나다,"['surprise', '0.789']"
외치다,"['surprise', '0.680']"
폭파하다,"['surprise', '0.773']"
기적적,"['surprise', '0.773']"
침략하다,"['surprise', '0.773']"
급습,"['surprise', '0.773']"
유 괴,"['surprise', '0.773']"
채가다,"['surprise', '0.766']"
무례한,"['surprise', '0.758']"
압도적 인,"['surprise', '0.758']"
멍청한,"['surprise', '0.758']"
예측할 수없는,"['surprise', '0.758']"
상상할 수 없는,"['surprise', '0.750']"
이상한 사람,"['surprise', '0.750']"
사고,"['surprise', '0.750']"
터무니없는,"['surprise', '0.750']"
꽁무니 빼다,"['surprise', '0.742']"
전격 기습,"['surprise', '0.742']"
학살,"['surprise', '0.742']"
몹시 놀라게 하다,"['surprise', '0.742']"
괴롭히다,"['surprise', '0.742']"
난파선,"['surprise', '0.742']"
마취,"['surprise', '0.734']"
흥분,"['surprise', '0.734']"
열광적 인,"['surprise', '0.734']"
굉장한,"['surprise', '0.734']"
추락,"['surprise', '0.734']"
폭동의,"['surprise', '0.727']"
사라진,"['surprise', '0.727']"
황폐 한,"['surprise', '0.727']"
항의,"['surprise', '0.727']"
당황한,"['surprise', '0.719']"
사보타주,"['surprise', '0.719']"
비명,"['surprise', '0.719']"
숨가쁜,"['surprise', '0.719']"
살인,"['surprise', '0.617']"
파열,"['surprise', '0.719']"
예상치 못한,"['surprise', '0.719']"
제어 할 수없는,"['surprise', '0.711']"
예기치 않은,"['surprise', '0.711']"
샷,"['surprise', '0.711']"
눈사태,"['surprise', '0.711']"
헐떡 거림,"['surprise', '0.711']"
뜻하지 않은,"['surprise', '0.703']"
큰 파도,"['surprise', '0.703']"
침입자,"['surprise', '0.703']"
험준한,"['surprise', '0.703']"
미결,"['surprise', '0.703']"
폐허,"['surprise', '0.703']"
휘발성,"['surprise', '0.695']"
일으키다,"['surprise', '0.695']"
새로운,"['surprise', '0.695']"
찌르다,"['surprise', '0.695']"
긴급한,"['surprise', '0.695']"
외침,"['surprise', '0.641']"
스트라이크,"['surprise', '0.695']"
방해,"['surprise', '0.688']"
대학살,"['surprise', '0.688']"
장관의,"['surprise', '0.688']"
놀랄 만한,"['surprise', '0.586']"
무모한,"['surprise', '0.680']"
찰싹,"['surprise', '0.680']"
거대한,"['surprise', '0.336']"
스릴,"['surprise', '0.680']"
우윤히,"['surprise', '0.672']"
우연한,"['surprise', '0.672']"
치는,"['surprise', '0.672']"
사로 잡다,"['surprise', '0.672']"
기분 전환,"['surprise', '0.672']"
테러리스트,"['surprise', '0.672']"
설명 할 수없는,"['surprise', '0.672']"
흥미 진진한,"['surprise', '0.672']"
넘어 뜨리다,"['surprise', '0.664']"
화산,"['surprise', '0.664']"
혁명,"['surprise', '0.664']"
이상한,"['surprise', '0.477']"
방화범,"['surprise', '0.656']"
반란,"['surprise', '0.656']"
좀도둑,"['surprise', '0.656']"
말하기 싫은,"['surprise', '0.656']"
유혈,"['surprise', '0.656']"
집진 장치,"['surprise', '0.648']"
격렬한,"['surprise', '0.648']"
붕괴,"['surprise', '0.648']"
홀린,"['surprise', '0.648']"
순진한,"['surprise', '0.648']"
폭동,"['surprise', '0.648']"
공격의,"['surprise', '0.648']"
의도하지 않은,"['surprise', '0.438']"
전염병,"['surprise', '0.648']"
진한 럼주,"['surprise', '0.641']"
들불,"['surprise', '0.641']"
형언 할 수없는,"['surprise', '0.641']"
열광,"['surprise', '0.641']"
자극,"['surprise', '0.641']"
소란,"['surprise', '0.641']"
즉흥 연주,"['surprise', '0.641']"
변칙,"['surprise', '0.633']"
환영,"['surprise', '0.633']"
배반,"['surprise', '0.633']"
프레스토 악장,"['surprise', '0.633']"
입을 크게 벌리다,"['surprise', '0.633']"
입을 딱 벌리고,"['surprise', '0.633']"
불확실한,"['surprise', '0.633']"
약탈,"['surprise', '0.633']"
대소동,"['surprise', '0.625']"
장난,"['surprise', '0.453']"
도살,"['surprise', '0.625']"
경탄,"['surprise', '0.625']"
흥분한,"['surprise', '0.625']"
마법,"['surprise', '0.625']"
살인적인,"['surprise', '0.625']"
긴급,"['surprise', '0.625']"
고통,"['surprise', '0.625']"
신비,"['surprise', '0.625']"
속임수,"['surprise', '0.617']"
심한,"['surprise', '0.406']"
사라지다,"['surprise', '0.617']"
민첩,"['surprise', '0.617']"
관입하는,"['surprise', '0.617']"
충돌,"['surprise', '0.617']"
눈가리개,"['surprise', '0.609']"
일격,"['surprise', '0.609']"
튀김,"['surprise', '0.609']"
도둑,"['surprise', '0.609']"
마법 같은,"['surprise', '0.609']"
불안정한,"['surprise', '0.609']"
파편,"['surprise', '0.609']"
목을 졸라 매다,"['surprise', '0.609']"
무시하다,"['surprise', '0.602']"
대홍수,"['surprise', '0.602']"
상상할 수없는,"['surprise', '0.602']"
축제,"['surprise', '0.406']"
무감각,"['surprise', '0.602']"
태클,"['surprise', '0.602']"
공격하다,"['surprise', '0.602']"
팔다,"['surprise', '0.602']"
기괴,"['surprise', '0.594']"
경고,"['surprise', '0.594']"
번개,"['surprise', '0.594']"
재난,"['surprise', '0.594']"
날카로운,"['surprise', '0.594']"
깜짝 놀랄 만한,"['surprise', '0.594']"
신비한,"['surprise', '0.586']"
마비 된,"['surprise', '0.586']"
무작위로,"['surprise', '0.586']"
보너스,"['surprise', '0.586']"
책략,"['surprise', '0.586']"
야생,"['surprise', '0.586']"
함정,"['surprise', '0.586']"
섬뜩한,"['surprise', '0.586']"
전기 같은,"['surprise', '0.578']"
괴벽,"['surprise', '0.578']"
죽음,"['surprise', '0.578']"
기뻐하는,"['surprise', '0.578']"
신의 선물,"['surprise', '0.578']"
파상 배치,"['surprise', '0.578']"
미쳐 날뛰는,"['surprise', '0.578']"
기쁨,"['surprise', '0.578']"
조숙 한,"['surprise', '0.578']"
흡충,"['surprise', '0.578']"
기괴한,"['surprise', '0.578']"
복수,"['surprise', '0.570']"
동적,"['surprise', '0.570']"
황홀한,"['surprise', '0.438']"
호리다,"['surprise', '0.422']"
폭로하다,"['surprise', '0.562']"
얼간이,"['surprise', '0.562']"
보상,"['surprise', '0.562']"
극악한,"['surprise', '0.562']"
다시 나타난다.,"['surprise', '0.562']"
변덕,"['surprise', '0.555']"
창작하다,"['surprise', '0.555']"
진전,"['surprise', '0.555']"
알랑쇠,"['surprise', '0.555']"
혈종,"['surprise', '0.555']"
비추다,"['surprise', '0.547']"
구출,"['surprise', '0.547']"
탄탈,"['surprise', '0.547']"
우승자,"['surprise', '0.547']"
영웅적 자질,"['surprise', '0.547']"
희박,"['surprise', '0.547']"
사정,"['surprise', '0.547']"
현혹,"['surprise', '0.547']"
구속을받지 않은,"['surprise', '0.547']"
방해하다,"['surprise', '0.547']"
반역,"['surprise', '0.539']"
펀치,"['surprise', '0.539']"
모욕,"['surprise', '0.531']"
찌르기,"['surprise', '0.484']"
환각,"['surprise', '0.539']"
운이 좋은,"['surprise', '0.539']"
일시 정지,"['surprise', '0.539']"
격려,"['surprise', '0.539']"
축하,"['surprise', '0.539']"
위반,"['surprise', '0.539']"
놀라운 일,"['surprise', '0.539']"
감각,"['surprise', '0.359']"
몹시,"['surprise', '0.531']"
숨기는,"['surprise', '0.531']"
소시지,"['surprise', '0.531']"
가지 그루터기,"['surprise', '0.531']"
부채,"['surprise', '0.523']"
경이,"['surprise', '0.523']"
직접,"['surprise', '0.523']"
발견되지 않은,"['surprise', '0.523']"
포기,"['surprise', '0.523']"
기쁘게 하다,"['surprise', '0.523']"
즉석에서 연주하다,"['surprise', '0.523']"
위엄 있는,"['surprise', '0.523']"
투석기,"['surprise', '0.523']"
희생 된,"['surprise', '0.523']"
자유롭게 하다,"['surprise', '0.523']"
개가 깽깽 우는 소리,"['surprise', '0.516']"
몰래,"['surprise', '0.516']"
간지럼,"['surprise', '0.516']"
기회,"['surprise', '0.516']"
멀리서 짖는 소리,"['surprise', '0.516']"
곡구,"['surprise', '0.508']"
휘어진,"['surprise', '0.508']"
날뛰다,"['surprise', '0.508']"
팝,"['surprise', '0.508']"
운,"['surprise', '0.508']"
장엄한,"['surprise', '0.508']"
초월,"['surprise', '0.508']"
번쩍 거리는,"['surprise', '0.508']"
무의식적으로,"['surprise', '0.508']"
드문,"['surprise', '0.500']"
기이,"['surprise', '0.500']"
과장된 어조,"['surprise', '0.500']"
주목할 만한,"['surprise', '0.500']"
기절,"['surprise', '0.500']"
살해자,"['surprise', '0.500']"
에로틱 한,"['surprise', '0.500']"
활기 있게 만들다,"['surprise', '0.500']"
버릇 없음,"['surprise', '0.500']"
전환,"['surprise', '0.500']"
말로 표현할 수 없는,"['surprise', '0.484']"
붙잡다,"['surprise', '0.492']"
위장,"['surprise', '0.492']"
지우다,"['surprise', '0.492']"
유인 못,"['surprise', '0.492']"
키메라,"['surprise', '0.492']"
경색,"['surprise', '0.492']"
생일,"['surprise', '0.492']"
위대,"['surprise', '0.492']"
열성,"['surprise', '0.484']"
마술사,"['surprise', '0.484']"
싼 어림,"['surprise', '0.484']"
큰 떼거리,"['surprise', '0.484']"
과시,"['surprise', '0.484']"
악마,"['surprise', '0.484']"
변하기 쉬운,"['surprise', '0.438']"
호기심,"['surprise', '0.484']"
둔한 사람,"['surprise', '0.477']"
지키지 않는,"['surprise', '0.477']"
발뺌,"['surprise', '0.477']"
재산,"['surprise', '0.477']"
재채기,"['surprise', '0.477']"
조명,"['surprise', '0.477']"
사건,"['surprise', '0.477']"
끔찍하게,"['surprise', '0.477']"
파괴적 인,"['surprise', '0.477']"
반전,"['surprise', '0.469']"
배회,"['surprise', '0.469']"
빠른,"['surprise', '0.469']"
의심 많은,"['surprise', '0.469']"
마법사,"['surprise', '0.469']"
일치,"['surprise', '0.461']"
들뜬,"['surprise', '0.461']"
다른,"['surprise', '0.461']"
단절,"['surprise', '0.461']"
슬립,"['surprise', '0.461']"
훌륭한,"['surprise', '0.453']"
승리,"['surprise', '0.453']"
과대 평가하다,"['surprise', '0.453']"
고백,"['surprise', '0.453']"
지독한 시련,"['surprise', '0.453']"
소실,"['surprise', '0.453']"
명랑한 소동,"['surprise', '0.453']"
래플,"['surprise', '0.453']"
웃음,"['surprise', '0.258']"
열성가,"['surprise', '0.445']"
화려한,"['surprise', '0.445']"
위업,"['surprise', '0.445']"
우연히,"['surprise', '0.445']"
뛰어나다,"['surprise', '0.445']"
도박,"['surprise', '0.445']"
닦다,"['surprise', '0.438']"
독특한,"['surprise', '0.438']"
화려,"['surprise', '0.438']"
무의미한,"['surprise', '0.438']"
선물,"['surprise', '0.320']"
매혹,"['surprise', '0.430']"
전율,"['surprise', '0.430']"
은밀한,"['surprise', '0.430']"
기쁜,"['surprise', '0.430']"
소송,"['surprise', '0.430']"
음모,"['surprise', '0.430']"
수은,"['surprise', '0.422']"
독창,"['surprise', '0.422']"
수수께끼,"['surprise', '0.422']"
심판,"['surprise', '0.422']"
몰래 하기,"['surprise', '0.422']"
정확성,"['surprise', '0.414']"
피하는,"['surprise', '0.414']"
위증,"['surprise', '0.414']"
주정,"['surprise', '0.414']"
해방,"['surprise', '0.414']"
사생아의,"['surprise', '0.414']"
졸도,"['surprise', '0.414']"
실험,"['surprise', '0.414']"
노름꾼,"['surprise', '0.406']"
영감을 얻은,"['surprise', '0.406']"
박수 갈채,"['surprise', '0.406']"
매력,"['surprise', '0.406']"
왕자 다운,"['surprise', '0.398']"
이혼,"['surprise', '0.398']"
추측,"['surprise', '0.398']"
익살 연극,"['surprise', '0.398']"
비밀,"['surprise', '0.398']"
포부,"['surprise', '0.391']"
아름다운 요정,"['surprise', '0.391']"
쾌활한,"['surprise', '0.391']"
남녀 추니,"['surprise', '0.391']"
최고,"['surprise', '0.391']"
실금,"['surprise', '0.391']"
계승,"['surprise', '0.383']"
점수,"['surprise', '0.383']"
잃다,"['surprise', '0.383']"
더할 나위 없는,"['surprise', '0.383']"
책임,"['surprise', '0.383']"
기특한,"['surprise', '0.383']"
시체,"['surprise', '0.383']"
꿀꺽 꿀꺽 마심,"['surprise', '0.375']"
유쾌한,"['surprise', '0.375']"
신비주의의,"['surprise', '0.375']"
성공하다,"['surprise', '0.375']"
전진,"['surprise', '0.375']"
불꽃,"['surprise', '0.367']"
기대,"['surprise', '0.367']"
조커,"['surprise', '0.367']"
관능적 인,"['surprise', '0.367']"
발굴,"['surprise', '0.367']"
환대,"['surprise', '0.359']"
시골뜨기,"['surprise', '0.352']"
새로 온 사람,"['surprise', '0.352']"
수정하다,"['surprise', '0.352']"
장학금,"['surprise', '0.352']"
축복,"['surprise', '0.352']"
연기,"['surprise', '0.352']"
떼다,"['surprise', '0.352']"
명성,"['surprise', '0.344']"
영웅,"['surprise', '0.344']"
스타트,"['surprise', '0.344']"
훌륭하게,"['surprise', '0.344']"
제일 높은,"['surprise', '0.344']"
진보,"['surprise', '0.344']"
영화 롭게하다,"['surprise', '0.344']"
매 맞지 않은,"['surprise', '0.336']"
기억에 남는,"['surprise', '0.336']"
거룩하게하다,"['surprise', '0.336']"
다시 휘젓다,"['surprise', '0.336']"
낙천주의,"['surprise', '0.336']"
경고 한,"['surprise', '0.336']"
해산,"['surprise', '0.336']"
이를 드러내고 웃다,"['surprise', '0.336']"
감탄,"['surprise', '0.328']"
비대,"['surprise', '0.328']"
천사,"['surprise', '0.320']"
시험,"['surprise', '0.320']"
잡기,"['surprise', '0.320']"
바람둥이,"['surprise', '0.312']"
퓨마,"['surprise', '0.312']"
자유,"['surprise', '0.312']"
키스,"['surprise', '0.312']"
포옹,"['surprise', '0.312']"
가끔,"['surprise', '0.312']"
턱,"['surprise', '0.312']"
성자,"['surprise', '0.312']"
스크럼,"['surprise', '0.312']"
해임,"['surprise', '0.312']"
완전,"['surprise', '0.305']"
관대,"['surprise', '0.305']"
채우다,"['surprise', '0.305']"
신성한,"['surprise', '0.305']"
출격,"['surprise', '0.305']"
극성,"['surprise', '0.297']"
마침내,"['surprise', '0.297']"
다르게,"['surprise', '0.297']"
만져서 알 수 있는,"['surprise', '0.297']"
경고하다,"['surprise', '0.297']"
의식,"['surprise', '0.297']"
더 큰,"['surprise', '0.297']"
유리한,"['surprise', '0.297']"
로맨스,"['surprise', '0.289']"
메달,"['surprise', '0.289']"
초대하다,"['surprise', '0.289']"
인사,"['surprise', '0.289']"
솔직한,"['surprise', '0.281']"
사직,"['surprise', '0.281']"
여행,"['surprise', '0.281']"
영예,"['surprise', '0.281']"
노동,"['surprise', '0.281']"
응시,"['surprise', '0.273']"
희미한 빛,"['surprise', '0.266']"
초대,"['surprise', '0.266']"
신체의,"['surprise', '0.266']"
감탄하다,"['surprise', '0.266']"
잠그다,"['surprise', '0.266']"
제전,"['surprise', '0.266']"
흉내,"['surprise', '0.266']"
보상하다,"['surprise', '0.266']"
지불 불능,"['surprise', '0.266']"
장난이 심하다,"['surprise', '0.266']"
보어,"['surprise', '0.258']"
전수,"['surprise', '0.258']"
가설,"['surprise', '0.258']"
킬킬 웃음,"['surprise', '0.258']"
신흔 여행,"['surprise', '0.250']"
얻다,"['surprise', '0.242']"
독립,"['surprise', '0.242']"
오페라,"['surprise', '0.242']"
쾌적한,"['surprise', '0.242']"
리드 미칼 한,"['surprise', '0.234']"
평가,"['surprise', '0.234']"
유망한,"['surprise', '0.234']"
트로피,"['surprise', '0.234']"
신성한 것,"['surprise', '0.234']"
성가,"['surprise', '0.234']"
휴가,"['surprise', '0.234']"
행렬,"['surprise', '0.227']"
방,"['surprise', '0.227']"
거래,"['surprise', '0.227']"
소중히 하다,"['surprise', '0.219']"
좋은,"['surprise', '0.219']"
쇼핑,"['surprise', '0.219']"
뮤지컬,"['surprise', '0.219']"
껍질,"['surprise', '0.211']"
새벽,"['surprise', '0.211']"
단순화하다,"['surprise', '0.211']"
청정,"['surprise', '0.203']"
무효화하다,"['surprise', '0.203']"
돈,"['surprise', '0.203']"
단,"['surprise', '0.203']"
수신,"['surprise', '0.203']"
동기화하다,"['surprise', '0.195']"
예방법,"['surprise', '0.195']"
인도 주의적,"['surprise', '0.195']"
완성되지 않은,"['surprise', '0.195']"
귀한,"['surprise', '0.195']"
기꺼이 남을 돌봐 주는,"['surprise', '0.188']"
단독으로,"['surprise', '0.188']"
예견하다,"['surprise', '0.180']"
빌다,"['surprise', '0.180']"
눈금,"['surprise', '0.180']"
아름다운,"['surprise', '0.180']"
태양,"['surprise', '0.172']"
미술,"['surprise', '0.172']"
입,"['surprise', '0.172']"
청소년,"['surprise', '0.172']"
갈증,"['surprise', '0.172']"
젊은,"['surprise', '0.164']"
선량,"['surprise', '0.164']"
연체 된,"['surprise', '0.156']"
챙,"['surprise', '0.156']"
연습 한,"['surprise', '0.156']"
숨어있는,"['surprise', '0.156']"
충성스러운,"['surprise', '0.148']"
배고 있다,"['surprise', '0.148']"
목적지,"['surprise', '0.148']"
무선 전화,"['surprise', '0.148']"
인용문,"['surprise', '0.141']"
윤활유,"['surprise', '0.141']"
유아,"['surprise', '0.141']"
크림,"['surprise', '0.141']"
운동장,"['surprise', '0.133']"
조직,"['surprise', '0.125']"
가르치다,"['surprise', '0.125']"
투표,"['surprise', '0.125']"
미소,"['surprise', '0.117']"
무게,"['surprise', '0.117']"
돌고래,"['surprise', '0.117']"
여성 단체,"['surprise', '0.109']"
케이블,"['surprise', '0.109']"
맑은,"['surprise', '0.102']"
확고한,"['surprise', '0.094']"
여가,"['surprise', '0.086']"
평화로운,"['surprise', '0.086']"
온천,"['surprise', '0.086']"
나무,"['surprise', '0.078']"
피크닉,"['surprise', '0.078']"
벌레,"['surprise', '0.055']"
박진성,"['trust', '0.906']"
NO TRANSLATION,"['trust', '0.133']"
